2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: Reevo
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: Reevo
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: Reevo
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Decagon
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Observe Inc
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Observe Inc
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: BRM
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 📞 Sending PollJobs message to JobPollerActor for company: Reevo
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.JobPollerActor - Polling jobs for company: BRM
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.JobPollerActor - 🔍 Requesting existing job data from DatabaseActor for company: BRM
2025-08-15 00:04:39.399 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ✅ PollJobs message sent successfully for company: Reevo
2025-08-15 00:04:39.400 [job-monitor-system-akka.actor.default-dispatcher-9] INFO  com.jobmonitor.actor.JobPollerActor - ✅ GetJobData message sent to DatabaseActor for company: BRM
2025-08-15 00:04:39.400 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ⏰ Scheduling next poll in 5 minutes
2025-08-15 00:04:39.400 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - 🔔 Scheduling next poll in 5 minutes
2025-08-15 00:04:39.400 [job-monitor-system-akka.actor.default-dispatcher-11] INFO  com.jobmonitor.actor.SchedulerActor - ✅ Next poll scheduled successfully for 5 minutes from now
2025-08-15 00:04:39.400 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.actor.JobPollerActor - 📥 JobPollerActor received PollJobs message for company: Commure
