2025-08-14 17:56:28.809 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 4/5 for company Commure (jobs 61-80)
2025-08-14 17:56:31.822 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 4/5 for company Commure - found 4 results
2025-08-14 17:56:32.827 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 5/5 for company Commure (jobs 81-83)
2025-08-14 17:56:35.167 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Successfully processed batch 5/5 for company Commure - found 3 results
2025-08-14 17:56:35.168 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Senior Software Engineer, RCM (Brazil) (Score: 75.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Software Engineer, EHR (Score: 80.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Software Engineer, RCM (Brazil) (Score: 75.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Senior Software Engineer, RCM (Score: 85.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Fullstack Engineer (SF) (Score: 85.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Fullstack Engineer (NYC) (Score: 85.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Fullstack Engineer, RCM (Score: 85.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Software Engineer, RCM Core Backend (Score: 80.0)
2025-08-14 17:56:35.169 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Senior Software Engineer, Integrations (Score: 85.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Software Engineer, Integrations (Score: 88.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Fullstack Engineer (Score: 85.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Fullstack Engineer, Applied AI (Score: 80.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Software Engineer, EHR (NYC) (Score: 75.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Software Engineer, EHR (LA) (Score: 75.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Software Engineer, EHR (SF) (Score: 75.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Senior Fullstack Engineer, Applied AI (Score: 85.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Staff Mobile Engineer, Applied AI (Score: 80.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Director of Engineering, Air (Score: 75.0)
2025-08-14 17:56:35.170 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Match found for job: Mobile Engineering Manager, Applied AI (Score: 70.0)
2025-08-14 17:56:35.171 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Found 19 matching jobs out of 83 analyzed for company Commure
2025-08-14 17:56:35.172 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.actor.JobProcessorActor - Received 19 job match results from LLM
2025-08-14 17:56:35.175 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 🎯 Job match analysis completed for company Commure: found 19 actual matches out of 19 total results
2025-08-14 17:56:35.175 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.actor.JobProcessorActor - 🎯 JOB MATCHING SUMMARY: Found 19 matching jobs out of 19 total results
2025-08-14 17:56:35.175 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - 📧 Company Commure will receive 19 Slack notifications
2025-08-14 17:56:35.175 [job-monitor-system-akka.actor.default-dispatcher-7] INFO  c.jobmonitor.actor.JobProcessorActor - 📧 Sending 19 Slack notifications for matching jobs
2025-08-14 17:56:35.175 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.actor.LLMAnalyzerActor - Analyzing 9 jobs for company Observe Inc with Mistral AI in a single batch request
2025-08-14 17:56:35.175 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Analyzing 9 jobs for company Observe Inc with Mistral AI using automatic batching
2025-08-14 17:56:35.176 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing 9 jobs for company Observe Inc in batches of 9
2025-08-14 17:56:35.176 [job-monitor-system-akka.actor.default-dispatcher-3] INFO  c.jobmonitor.service.MistralService - Processing batch 1/1 for company Observe Inc (jobs 1-9)
2025-08-14 17:56:35.179 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Senior Software Engineer, RCM (Brazil) with score: 75.0%
2025-08-14 17:56:35.681 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-14 17:56:35.681 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Senior Software Engineer, RCM (Brazil) (Message ID: 1755208595.659379)
2025-08-14 17:56:35.681 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  c.j.actor.SlackNotifierActor - 📧 Sending Slack notification for job match: Staff Software Engineer, EHR with score: 80.0%
2025-08-14 17:56:35.841 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  com.jobmonitor.service.SlackService - Slack message sent successfully
2025-08-14 17:56:35.841 [job-monitor-system-akka.actor.default-dispatcher-8] INFO  c.j.actor.SlackNotifierActor - ✅ Slack notification sent successfully for job: Staff Software Engineer, EHR (Message ID: 1755208595.875399)
